Date,Yield (on 09/08/23),Price,Discount factor
10/8/2023,5.28,0.999857084,0.962935395
11/8/2023,5.28,0.999714189,0.963073033
14/8/2023,5.28,0.999285626,0.963486066
15/8/2023,5.28,0.999142813,0.963623783
16/8/2023,5.28,0.99900002,0.963761519
17/8/2023,5.28,0.998857247,0.963899275
18/8/2023,5.28,0.998714495,0.964037051
21/8/2023,5.28,0.998286361,0.964450497
22/8/2023,5.28,0.99814369,0.964588352
23/8/2023,5.28,0.99800104,0.964726226
24/8/2023,5.28,0.99785841,0.96486412
25/8/2023,5.28,0.9977158,0.965002034
28/8/2023,5.28,0.997288094,0.965415894
29/8/2023,5.28,0.997145566,0.965553887
30/8/2023,5.28,0.997003058,0.965691899
31/8/2023,5.28,0.996860571,0.965829931
1/9/2023,5.28,0.996718104,0.965967983
4/9/2023,5.28,0.996290826,0.966382257
5/9/2023,5.28,0.99614844,0.966520388
6/9/2023,5.28,0.996006075,0.966658538
7/9/2023,5.28,0.99586373,0.966796709
8/9/2023,5.2805,0.995721012,0.966935281
11/9/2023,5.281,0.995293688,0.96735043
12/9/2023,5.2815,0.995150972,0.967489158
13/9/2023,5.282,0.995008251,0.967627932
14/9/2023,5.2825,0.994865524,0.967766752
15/9/2023,5.283,0.994722791,0.967905617
18/9/2023,5.2835,0.994295607,0.968321463
19/9/2023,5.284,0.994152877,0.968460484
20/9/2023,5.2845,0.994010142,0.968599551
21/9/2023,5.285,0.9938674,0.968738663
22/9/2023,5.2855,0.993724653,0.968877821
25/9/2023,5.286,0.99329761,0.969294366
26/9/2023,5.2865,0.993154866,0.96943368
27/9/2023,5.287,0.993012117,0.96957304
28/9/2023,5.2875,0.992869362,0.969712446
29/9/2023,5.288,0.992726601,0.969851897
2/10/2023,5.2885,0.992299698,0.970269142
3/10/2023,5.289,0.992156941,0.97040875
4/10/2023,5.2895,0.992014178,0.970548404
5/10/2023,5.29,0.991871409,0.970688103
6/10/2023,5.290740741,0.991728269,0.970828206
9/10/2023,5.291481481,0.991301105,0.971246548
10/10/2023,5.292222222,0.991157932,0.971386845
11/10/2023,5.292962963,0.99101474,0.971527201
12/10/2023,5.293703704,0.990871531,0.971667615
13/10/2023,5.294444444,0.990728303,0.971808087
16/10/2023,5.295185185,0.990301144,0.972227269
17/10/2023,5.295925926,0.990157883,0.972367936
18/10/2023,5.296666667,0.990014604,0.972508661
19/10/2023,5.297407407,0.989871307,0.972649445
20/10/2023,5.298148148,0.989727992,0.972790287
23/10/2023,5.298888889,0.989300839,0.973210311
24/10/2023,5.29962963,0.989157491,0.973351348
25/10/2023,5.30037037,0.989014124,0.973492444
26/10/2023,5.301111111,0.98887074,0.973633598
27/10/2023,5.301851852,0.988727338,0.973774811
30/10/2023,5.302592593,0.988300192,0.974195679
31/10/2023,5.303333333,0.988156757,0.974337087
1/11/2023,5.304074074,0.988013304,0.974478555
2/11/2023,5.304814815,0.987869834,0.97462008
3/11/2023,5.305555556,0.987726345,0.974761665
6/11/2023,5.306296296,0.987299208,0.975183378
7/11/2023,5.307037037,0.987155687,0.975325159
8/11/2023,5.307777778,0.987012148,0.975466998
9/11/2023,5.308518519,0.986868591,0.975608896
10/11/2023,5.309259259,0.986725017,0.975750853
13/11/2023,5.31,0.986297888,0.976173414
14/11/2023,5.310952381,0.986153747,0.976316096
15/11/2023,5.311904762,0.986009578,0.976458848
16/11/2023,5.312857143,0.985865381,0.97660167
17/11/2023,5.313809524,0.985721154,0.976744562
20/11/2023,5.314761905,0.985293404,0.9771686
21/11/2023,5.315714286,0.985149114,0.977311722
22/11/2023,5.316666667,0.985004794,0.977454914
23/11/2023,5.317619048,0.984860447,0.977598176
24/11/2023,5.318571429,0.984716071,0.977741508
27/11/2023,5.31952381,0.984288213,0.97816652
28/11/2023,5.32047619,0.984143773,0.978310083
29/11/2023,5.321428571,0.983999305,0.978453716
30/11/2023,5.322380952,0.983854808,0.97859742
1/12/2023,5.323333333,0.983710284,0.978741193
4/12/2023,5.324285714,0.98328232,0.979167181
5/12/2023,5.325238095,0.983137731,0.979311186
6/12/2023,5.326190476,0.982993114,0.979455261
7/12/2023,5.327142857,0.982848469,0.979599406
8/12/2023,5.328095238,0.982703796,0.979743622
11/12/2023,5.329047619,0.982275727,0.980170588
12/12/2023,5.33,0.982130991,0.980315035
13/12/2023,5.329111111,0.981992234,0.980453555
14/12/2023,5.328222222,0.981853543,0.980592048
15/12/2023,5.327333333,0.981714918,0.980730514
18/12/2023,5.326444444,0.981293409,0.981151782
19/12/2023,5.325555556,0.981155001,0.981290189
20/12/2023,5.324666667,0.981016659,0.98142857
21/12/2023,5.323777778,0.980878382,0.981566925
22/12/2023,5.322888889,0.98074017,0.981705253
27/12/2023,5.322,0.980037228,0.982409392
28/12/2023,5.321111111,0.979899319,0.982547654
29/12/2023,5.320222222,0.979761475,0.98268589
2/1/2024,5.319333333,0.979200698,0.983248663
3/1/2024,5.318444444,0.979063113,0.983386835
4/1/2024,5.317555556,0.978925594,0.983524982
5/1/2024,5.316666667,0.97878814,0.983663101
8/1/2024,5.315777778,0.978369195,0.984084313
9/1/2024,5.314888889,0.978231957,0.984222372
10/1/2024,5.314,0.978094783,0.984360405
11/1/2024,5.313111111,0.977957675,0.984498411
12/1/2024,5.312222222,0.977820632,0.98463639
15/1/2024,5.311333333,0.977402606,0.98505751
16/1/2024,5.310444444,0.977265778,0.985195428
17/1/2024,5.309555556,0.977129015,0.98533332
18/1/2024,5.308666667,0.976992317,0.985471185
19/1/2024,5.307777778,0.976855685,0.985609023
22/1/2024,5.306888889,0.976438575,0.98603005
23/1/2024,5.306,0.976302157,0.986167827
24/1/2024,5.305111111,0.976165804,0.986305578
25/1/2024,5.304222222,0.976029515,0.986443301
26/1/2024,5.303333333,0.975893292,0.986580997
29/1/2024,5.302444444,0.975477096,0.98700193
30/1/2024,5.301555556,0.975341087,0.987139565
31/1/2024,5.300666667,0.975205143,0.987277173
1/2/2024,5.299777778,0.975069263,0.987414754
2/2/2024,5.298888889,0.974933448,0.987552308
5/2/2024,5.298,0.974518165,0.987973145
6/2/2024,5.297111111,0.974382564,0.988110638
7/2/2024,5.296222222,0.974247028,0.988248103
8/2/2024,5.295333333,0.974111556,0.988385541
9/2/2024,5.294444444,0.973976149,0.988522951
12/2/2024,5.293555556,0.973561775,0.988943692
13/2/2024,5.292666667,0.973426582,0.989081041
14/2/2024,5.291777778,0.973291452,0.989218363
15/2/2024,5.290888889,0.973156387,0.989355657
16/2/2024,5.29,0.973021387,0.989492924
19/2/2024,5.288787879,0.972609531,0.989911929
20/2/2024,5.287575758,0.972476369,0.990047479
21/2/2024,5.286363636,0.972343287,0.990182984
22/2/2024,5.285151515,0.972210285,0.990318444
23/2/2024,5.283939394,0.972077365,0.990453859
26/2/2024,5.282727273,0.971666592,0.990872574
27/2/2024,5.281515152,0.971533932,0.991007874
28/2/2024,5.28030303,0.971401352,0.99114313
29/2/2024,5.279090909,0.971268853,0.99127834
1/3/2024,5.277878788,0.971136434,0.991413506
4/3/2024,5.276666667,0.970726742,0.991831928
5/3/2024,5.275454545,0.970594584,0.991966979
6/3/2024,5.274242424,0.970462505,0.992101984
7/3/2024,5.273030303,0.970330506,0.992236944
8/3/2024,5.271818182,0.970198588,0.99237186
11/3/2024,5.270606061,0.969789975,0.992789987
12/3/2024,5.269393939,0.969658316,0.992924787
13/3/2024,5.268181818,0.969526737,0.993059541
14/3/2024,5.266969697,0.969395238,0.99319425
15/3/2024,5.265757576,0.96926382,0.993328914
18/3/2024,5.264545455,0.968856282,0.993746745
19/3/2024,5.263333333,0.968725122,0.993881292
20/3/2024,5.262121212,0.968594043,0.994015795
21/3/2024,5.260909091,0.968463042,0.994150251
22/3/2024,5.25969697,0.968332122,0.994284662
25/3/2024,5.258484848,0.967925658,0.994702195
26/3/2024,5.257272727,0.967794996,0.99483649
27/3/2024,5.256060606,0.967664414,0.994970739
28/3/2024,5.254848485,0.967533911,0.995104942
1/4/2024,5.253636364,0.966990794,0.99566385
2/4/2024,5.252424242,0.966860599,0.995797923
3/4/2024,5.251212121,0.966730483,0.995931951
4/4/2024,5.25,0.966600447,0.996065934
5/4/2024,5.248787879,0.96647049,0.99619987
8/4/2024,5.247575758,0.966066076,0.996616899
9/4/2024,5.246363636,0.965936376,0.996750718
10/4/2024,5.245151515,0.965806756,0.996884491
11/4/2024,5.243939394,0.965677215,0.997018219
12/4/2024,5.242727273,0.965547754,0.9971519
15/4/2024,5.241515152,0.965144405,0.997568625
16/4/2024,5.24030303,0.9650152,0.997702188
17/4/2024,5.239090909,0.964886074,0.997835706
18/4/2024,5.237878788,0.964757028,0.997969177
19/4/2024,5.236666667,0.96462806,0.998102602
22/4/2024,5.235454545,0.964225775,0.998519021
23/4/2024,5.234242424,0.964097064,0.998652328
24/4/2024,5.233030303,0.963968431,0.998785588
25/4/2024,5.231818182,0.963839878,0.998918803
26/4/2024,5.230606061,0.963711404,0.99905197
29/4/2024,5.229393939,0.963310179,0.999468082
30/4/2024,5.228181818,0.96318196,0.999601131
1/5/2024,5.226969697,0.96305382,0.999734134
2/5/2024,5.225757576,0.962925759,0.99986709
3/5/2024,5.224545455,0.962797777,1
